date,open,high,low,close,volume,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,price_diff,price_change_percentage
2024-05-29,3764.26,3792.99,3742.59,3767.43,63980.2511,240922043.27320302,206627,34830.9766,131172976.156618,3.169999999999618,0.08421309898890135
2024-05-30,3767.44,3825.35,3702.58,3747.91,277034.2894,1042146006.39132,765716,135950.14979999998,511516684.881294,-19.5300000000002,-0.5183891448835336
2024-05-31,3747.9,3849.94,3723.75,3762.29,273406.766,1032174005.216676,680329,136551.9833,515577099.538579,14.389999999999873,0.3839483444061974
2024-06-01,3762.29,3833.3,3752.67,3815.82,132687.2006,503500622.837856,399377,70367.6098,267068560.050883,53.5300000000002,1.4228036647892695
2024-06-02,3815.82,3838.59,3752.62,3780.71,193941.5897,736185752.223995,532249,97699.0099,370850217.171705,-35.11000000000013,-0.9201167769968217
