date,open,high,low,close,volume,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,price_diff,price_change_percentage
2024-05-29,67555.18,67826.09,67151.35,67652.42,4160.14605,280818329.9448845,249113,2033.95134,137288489.4995035,97.24000000000524,0.14394158967529247
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,1945001081.5215867,1272851,14074.366549999999,961595245.1787834,699.7599999999948,1.0343460048208108
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,1812659052.2496767,1177860,13258.10182,900414200.1161768,-812.1600000000035,-1.188199291990296
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,598305207.9932046,638484,4235.27045,286752060.4028929,226.84000000001106,0.3358601812466582
2024-06-02,67766.84,68460.0,67257.47,67775.98,14515.84619,985033812.3879687,752674,7319.55636,496859496.2863761,9.139999999999418,0.013487422462076465
