,open_time,open,high,low,close,volume,close_time,quote_volumn,number_of_trades,taker_buy_volume,taker_buy_quote_volume,ignore
59,1717214400000,67715.31000000,67763.81000000,67656.00000000,67680.01000000,315.96397000,1717217999999,21395016.82559630,17853,136.41640000,9236983.87787740,0
60,1717218000000,67680.01000000,67810.00000000,67603.00000000,67686.35000000,316.72396000,1717221599999,21439336.40132190,35613,135.68562000,9185139.36890360,0
61,1717221600000,67686.35000000,67729.87000000,67607.94000000,67693.32000000,266.23887000,1717225199999,18016243.62666700,20106,133.14606000,9009940.26630980,0
62,1717225200000,67693.32000000,67733.01000000,67575.23000000,67632.08000000,351.80708000,1717228799999,23800086.96734230,28474,150.69643000,10195406.38084210,0
63,1717228800000,67632.07000000,67741.06000000,67611.61000000,67704.00000000,376.44780000,1717232399999,25473893.88659380,21456,173.79245000,11760766.52833700,0
64,1717232400000,67704.00000000,67760.00000000,67635.00000000,67706.69000000,349.38935000,1717235999999,23653981.02660050,45153,181.62293000,12296733.19072380,0
65,1717236000000,67706.69000000,67750.00000000,67627.32000000,67627.33000000,317.62668000,1717239599999,21502290.92689390,21287,155.16266000,10504698.80082690,0
66,1717239600000,67627.33000000,67694.00000000,67627.32000000,67660.57000000,249.68951000,1717243199999,16895731.80152530,19722,127.59900000,8633973.85487710,0
67,1717243200000,67660.57000000,67872.50000000,67640.00000000,67717.76000000,408.22840000,1717246799999,27653663.95185310,24706,219.46720000,14866755.66795900,0
68,1717246800000,67717.76000000,67837.00000000,67714.28000000,67720.01000000,419.26976000,1717250399999,28424665.05663160,22898,225.35860000,15278579.49522560,0
69,1717250400000,67720.01000000,67870.00000000,67673.00000000,67803.34000000,379.00520000,1717253999999,25691101.16977400,23849,222.87299000,15107803.07646150,0
70,1717254000000,67803.33000000,67824.00000000,67668.01000000,67691.28000000,321.49058000,1717257599999,21790861.72306610,25157,142.83489000,9681122.32920640,0
71,1717257600000,67691.28000000,67719.99000000,67612.00000000,67700.01000000,304.87310000,1717261199999,20633236.23704480,30842,155.15838000,10500859.03539650,0
72,1717261200000,67700.01000000,67900.00000000,67556.72000000,67791.02000000,1177.16281000,1717264799999,79671396.22413890,53510,545.18593000,36910579.46093440,0
73,1717264800000,67791.02000000,67821.73000000,67726.32000000,67750.71000000,277.11069000,1717268399999,18777645.46406260,23805,143.95874000,9754899.36554520,0
74,1717268400000,67750.70000000,67782.64000000,67685.72000000,67753.76000000,174.52798000,1717271999999,11821931.55410760,21454,75.43699000,5109856.23179680,0
75,1717272000000,67753.76000000,67796.54000000,67700.00000000,67796.54000000,337.18395000,1717275599999,22839691.67705000,23890,137.25182000,9297780.72550640,0
76,1717275600000,67796.54000000,67820.20000000,67713.23000000,67760.01000000,290.36113000,1717279199999,19678505.85967590,39754,144.43112000,9788920.61374350,0
77,1717279200000,67760.01000000,67885.00000000,67710.00000000,67765.40000000,263.44950000,1717282799999,17860656.42083730,32516,115.81099000,7851628.07928350,0
78,1717282800000,67765.41000000,67819.78000000,67723.00000000,67766.85000000,163.75962000,1717286399999,11098794.32736580,20028,88.62411000,6006854.70124230,0
79,1717286400000,67766.84000000,67910.55000000,67744.00000000,67889.00000000,298.77105000,1717289999999,20259714.20435260,24536,156.62596000,10620428.73896090,0
80,1717290000000,67888.99000000,67900.00000000,67710.00000000,67755.00000000,408.07620000,1717293599999,27669778.92651200,22574,202.25626000,13713121.74242680,0
81,1717293600000,67755.00000000,67815.00000000,67643.33000000,67733.26000000,340.27499000,1717297199999,23052755.35478500,29598,144.08060000,9761242.50365640,0
82,1717297200000,67733.25000000,67807.99000000,67726.31000000,67789.47000000,240.10946000,1717300799999,16275110.78211870,15717,113.28755000,7678190.26978300,0
83,1717300800000,67789.48000000,67852.63000000,67745.18000000,67852.62000000,179.28516000,1717304399999,12155935.18633050,38533,95.90656000,6502896.43852110,0
84,1717304400000,67852.62000000,67867.60000000,67728.40000000,67728.40000000,208.19005000,1717307999999,14114074.97901520,18766,78.01270000,5288935.46012120,0
85,1717308000000,67728.41000000,67852.33000000,67724.60000000,67841.09000000,326.57495000,1717311599999,22142271.42425500,18926,187.42008000,12707830.56950380,0
86,1717311600000,67841.09000000,67842.91000000,67720.41000000,67721.00000000,342.48176000,1717315199999,23206201.54050890,28500,167.87593000,11374351.21909450,0
87,1717315200000,67721.01000000,67812.57000000,67671.81000000,67750.67000000,357.78944000,1717318799999,24242895.25435070,22784,173.03273000,11724181.94279070,0
88,1717318800000,67750.68000000,67772.65000000,67377.79000000,67529.99000000,1006.07274000,1717322399999,67976161.52522270,49253,353.34175000,23868812.80550580,0
89,1717322400000,67530.00000000,67581.97000000,67367.20000000,67529.99000000,381.18834000,1717325999999,25727187.00624930,23244,178.16918000,12024511.75480290,0
90,1717326000000,67530.00000000,68320.08000000,67492.60000000,68251.52000000,1213.97200000,1717329599999,82507871.26563150,63322,796.27656000,54108893.02913040,0
91,1717329600000,68251.53000000,68305.00000000,67852.24000000,67934.99000000,941.82256000,1717333199999,64106385.00616420,46922,443.94047000,30220266.86811130,0
92,1717333200000,67934.99000000,68214.66000000,67800.00000000,68165.98000000,722.27646000,1717336799999,49127107.93295000,34539,352.89735000,24009916.00595410,0
93,1717336800000,68165.97000000,68460.00000000,68073.65000000,68252.50000000,2085.25292000,1717340399999,142301446.44583110,61184,1264.41364000,86284407.72034490,0
94,1717340400000,68252.51000000,68297.12000000,68016.19000000,68142.17000000,465.81443000,1717343999999,31732682.04823540,26716,224.02452000,15259739.55927080,0
95,1717344000000,68142.18000000,68200.00000000,67980.00000000,68103.63000000,440.27640000,1717347599999,29976348.42096920,30258,198.12552000,13489106.88253190,0
96,1717347600000,68103.63000000,68103.64000000,67808.66000000,67879.28000000,1181.95687000,1717351199999,80301323.39949420,53162,587.48573000,39913680.56014430,0
97,1717351200000,67879.27000000,67879.28000000,67456.88000000,67697.14000000,1480.43326000,1717354799999,100126067.51605590,63418,732.50765000,49538350.57345310,0
98,1717354800000,67697.14000000,67798.00000000,67257.47000000,67736.95000000,1565.51294000,1717358399999,105714334.50996080,61205,713.84135000,48208681.72065900,0
99,1717358400000,67736.95000000,67775.98000000,67577.65000000,67775.98000000,329.71421000,1717361999999,22318159.65897580,19517,156.03427000,10561949.92160920,0
